domain,scenario,seed,round,condition,metric,d_local,d_trajectory,attribution_error,attribution_error_normalized,sign_disagreement,trajectory_history_distance,rank_disagreement
energy_market_v1,baseline_v1,2,2,top_score,generator_profit_total,-13736.0015,-13736.0015,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,top_score,renewable_share,0.5932999999999999,0.5932999999999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,top_score,total_emissions,-203.2264,-203.2264,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,top_score,clearing_price,-58.173100000000005,-58.173100000000005,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,top_score,consumer_cost,-28157.4205,-28157.4205,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,top_score,generator_profit_total,-13394.0897,-13394.0897,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,top_score,renewable_share,0.5841000000000001,0.5841000000000001,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,top_score,total_emissions,-194.9504,-194.9504,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,top_score,clearing_price,-59.8691,-59.8691,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,top_score,consumer_cost,-23639.7623,-23639.7623,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,top_score,generator_profit_total,-16445.2065,-16445.2065,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,top_score,renewable_share,0.32999999999999996,0.32999999999999996,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,top_score,total_emissions,-92.1074,-92.1074,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,top_score,clearing_price,-62.671800000000005,-62.671800000000005,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,top_score,consumer_cost,-25323.708,-25323.708,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,top_score,generator_profit_total,-18553.7092,-18553.7092,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,top_score,renewable_share,0.2821,0.2821,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,top_score,total_emissions,-85.1781,-85.1781,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,top_score,clearing_price,-76.5198,-76.5198,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,top_score,consumer_cost,-27560.5715,-27560.5715,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,top_score,generator_profit_total,-18682.248,-18682.248,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,top_score,renewable_share,0.2986,0.2986,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,top_score,total_emissions,-90.5549,-90.5549,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,random_valid,clearing_price,49.3904,49.3904,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,random_valid,consumer_cost,-30442.1404,-30442.1404,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,random_valid,generator_profit_total,-13448.5338,-13448.5338,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,random_valid,renewable_share,0.5754,0.5754,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,random_valid,total_emissions,-205.8318,-205.8318,0.0,0.0,False,,False
