domain,scenario,condition,seed,wall_s,measured_s,residual_s,bundle_bytes,trace_bytes,content_hash,t_candidate_generation_s,t_observation_s,t_controller_s,t_validation_syntactic_s,t_validation_semantic_s,t_resolution_s,t_evidence_collection_s,t_hashing_s
energy_market_v1,baseline_v1,top_score,23,0.03682611200201791,0.01742754299993976,0.019398569002078148,66569,37884,408a90a952ccc167,0.013538074996176874,0.00011060600445489399,0.000536823983566137,0.00046359199404832907,9.485501141170971e-05,0.0015525740054727066,5.267200685921125e-05,0.0010783449979498982
energy_market_v1,baseline_v1,top_score,24,0.030948166000598576,0.014030639977136161,0.016917526023462415,66575,37913,1ea6aa30d6178e34,0.011627553001744673,9.692698586150073e-05,0.0004566569878079463,0.00028030399698764086,7.882501085987315e-05,0.0007434909966832493,4.6784000005573034e-05,0.0007000989971857052
energy_market_v1,baseline_v1,top_score,25,0.03553351599839516,0.01566679998722975,0.01986671601116541,66714,37939,2cbf02b97fa58e97,0.01295966000543558,0.00011010900561814196,0.0005196389865886886,0.0004022410030302126,8.770799104240723e-05,0.0006830290039943065,4.8682992201065645e-05,0.0008557309993193485
energy_market_v1,baseline_v1,top_score,26,0.038142230001540156,0.017908493948198156,0.020233736053342,66725,37922,2d8dcf2653826f38,0.014853015985863749,0.00012781499026459642,0.0005762549990322441,0.0003601769822125789,0.00011377498594811186,0.0008066410009632818,6.175700400490314e-05,0.0010090579999086913
energy_market_v1,baseline_v1,top_score,27,0.040043127999524586,0.019265962022473104,0.02077716597705148,66552,37913,dd5173b04edf288c,0.01564619201235473,0.0001250870009243954,0.0007838430065021385,0.00039734899473842233,0.00011241800893913023,0.0010180839999520686,6.509299782919697e-05,0.0011178960012330208
energy_market_v1,baseline_v1,top_score,28,0.030265869001596002,0.013337055977899581,0.01692881302369642,66631,37911,1d637659f297a29f,0.01088029798847856,0.00010072500299429521,0.00046208799903979525,0.000294611989374971,8.709001122042537e-05,0.0007043439982226118,4.302598972572014e-05,0.0007648729988432024
energy_market_v1,baseline_v1,top_score,29,0.03435164700204041,0.016335976015398046,0.018015670986642363,66650,37927,ea8be11b695c1f41,0.01337641800273559,0.0001175359939225018,0.0005532270115509164,0.0003889419967890717,9.60669967753347e-05,0.0008954910008469597,7.980500959092751e-05,0.0008284900031867437
energy_market_v1,baseline_v1,top_score,30,0.03571998199913651,0.014905181997164618,0.02081480000197189,66596,37914,a66f234510b77cb8,0.011805150003056042,9.576799493515864e-05,0.0004192339984001592,0.00030840401086607017,8.795198664302006e-05,0.0011640670054475777,4.800499664270319e-05,0.0009766020011738874
energy_market_v1,tight_supply_v1,rule,1,0.030806763999862596,0.01361587097926531,0.017190893020597287,62889,34500,f22cadbff5bc1d1a,0.011686913003359223,9.286699423682876e-05,0.00018252598601975478,0.0002880889951484278,7.968699719640426e-05,0.0006450299988500774,4.247300239512697e-05,0.0005982860020594671
energy_market_v1,tight_supply_v1,rule,2,0.032475844000146026,0.015169523994700285,0.01730632000544574,62881,34500,07ced5dcc4307ceb,0.012808988994947867,0.00010572199607850052,0.00018754000120679848,0.00034097297975677066,0.00015995901776477695,0.000883499003975885,4.934800017508678e-05,0.0006334940007945988
energy_market_v1,tight_supply_v1,rule,3,0.03455849699821556,0.016222703001403715,0.018335793996811844,62898,34500,d6aeb4c46ffb5056,0.01395443100045668,0.00011190601435373537,0.00019638099911389872,0.00034050200338242576,9.258199133910239e-05,0.00091103600061615,5.4308991821017116e-05,0.0005615560003207065
energy_market_v1,tight_supply_v1,rule,4,0.032410791998700006,0.015328030985983787,0.01708276101271622,62900,34500,55b5b1967654ad48,0.013146070996299386,0.00011036999785574153,0.0001925449942064006,0.0003184379747835919,8.969000555225648e-05,0.0006380350023391657,4.9930014938581735e-05,0.0007829520000086632
energy_market_v1,tight_supply_v1,rule,5,0.028973627999221208,0.01334598303947132,0.015627644959749887,62901,34500,78ef9d61bb789884,0.011260843017225852,9.615198359824717e-05,0.00017362100697937422,0.0003592300054151565,7.96979948063381e-05,0.0007699609959672671,4.432903733686544e-05,0.0005621489981422201
energy_market_v1,tight_supply_v1,rule,6,0.03295540699764388,0.015700922001997242,0.017254484995646635,62898,34500,601f5f3acf0be6cc,0.013254249010060448,0.00010350399315939285,0.00018303400065633468,0.0003421059955144301,0.00012785900980816223,0.0007462410030711908,5.0239988922839984e-05,0.0008936890008044429
